,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
3799,1.07,Lyft,Financial District,Haymarket Square,11.0,1.0,d3acfa7c-001a-41fb-b677-fc73256e6bed,lyft_premier,Lux,2018-11-28:17.02.08,41.38,0.92,991.49,0.0,0.63,9.24,17,2018-11-28,Wednesday,Lux,0,0,1,0,0,0,0
2136,1.45,Lyft,Fenway,Back Bay,13.5,1.0,d31d6bd5-061d-4bde-9f48-04177400d0e4,lyft_plus,Lyft XL,2018-11-28:17.02.07,41.38,0.92,991.5,0.0,0.63,9.22,17,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3496,2.93,Lyft,Fenway,West End,16.5,1.0,29779746-c40f-422a-b90b-e30be902c531,lyft_plus,Lyft XL,2018-11-29:01.09.23,38.49,0.67,997.22,0.0,0.71,10.07,1,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
2521,0.63,Uber,Financial District,South Station,6.0,1.0,8bf4e7aa-95fb-4271-820d-763c8740f092,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:17.02.07,41.46,0.92,991.49,0.0,0.63,9.25,17,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
2902,1.76,Lyft,South Station,North Station,26.0,1.0,a134e358-8d7a-443b-b462-1a86e85740c1,lyft_luxsuv,Lux Black XL,2018-11-26:07.46.10,41.2,0.94,1014.19,0.0,0.93,1.95,7,2018-11-26,Monday,SUV,0,0,0,1,0,0,0
2021,2.71,Uber,Fenway,Theatre District,24.0,1.0,6048293c-1c7c-4daa-a5da-1bf2f4d55bb6,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:19.02.08,40.9,1.0,991.82,0.0,0.64,9.5,19,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
1700,0.91,Lyft,Financial District,Haymarket Square,9.0,1.0,8f721618-208b-4ca0-b413-6d3521094bdb,lyft_plus,Lyft XL,2018-11-29:02.07.18,38.4,0.51,997.89,0.002,0.7,10.42,2,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
145,1.34,Uber,Fenway,Back Bay,8.5,1.0,567f27c8-093a-46bc-99df-45ee624258ce,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:02.02.08,38.51,0.54,997.83,0.0,0.7,10.23,2,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
608,0.92,Uber,Haymarket Square,Financial District,11.5,1.0,39035698-55d7-42ea-a389-6b6ec502eb4e,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:19.02.08,41.26,1.0,991.82,0.0,0.63,9.53,19,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
444,1.79,Uber,Back Bay,Haymarket Square,18.5,1.0,803be44b-0895-42dd-91ce-fb08651b9fa9,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:23.53.40,39.3,0.85,995.95,0.0,0.66,10.54,23,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2967,4.51,Lyft,Financial District,Boston University,22.5,1.0,55b35857-e977-4354-adda-bc5926cfb762,lyft_plus,Lyft XL,2018-11-28:07.34.35,34.99,0.16,991.78,0.0,0.8,6.5,7,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
3423,3.15,Uber,Northeastern University,West End,16.0,1.0,3670c3dd-0432-4ef8-9fbc-cdc899b8127e,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:18.06.22,41.24,0.94,991.41,0.0,0.63,9.73,18,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
2627,2.98,Lyft,Northeastern University,West End,7.0,1.0,00da877e-9fd5-406e-9dc6-1611aaf53cf9,lyft_line,Shared,2018-11-28:17.32.07,41.4,0.86,991.66,0.0,0.64,9.92,17,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
2406,3.13,Lyft,Fenway,North Station,38.5,1.0,496f6019-a5d5-45cc-8d3c-39862f0d4857,lyft_luxsuv,Lux Black XL,2018-11-26:19.35.10,45.79,0.91,1010.89,0.0,0.83,8.59,19,2018-11-26,Monday,SUV,0,0,0,1,0,0,0
3382,3.05,Uber,Fenway,North Station,34.0,1.0,ba3c20b3-7700-49bb-832c-9a317734638c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-27:00.58.48,44.02,0.98,1006.01,0.1378,0.9,9.98,0,2018-11-27,Tuesday,SUV,0,0,0,1,0,0,0
